trade_id,market_question,entry_time,exit_time,hold_hours,entry_side,exit_side,entry_price,exit_price,size,gross_pnl_usd,pnl_cents_per_share,entry_mid,exit_mid,status,exit_reason
1,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-12T00:18:00+00:00,2026-07-13T00:07:00+00:00,23.8167,sell_yes,buy_yes,0.15,0.19,106.378,-4.2551,-4,0.155,0.155,closed,opposite_fill
2,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-12T00:18:00+00:00,2026-07-13T09:49:00+00:00,33.5167,sell_yes,buy_yes,0.15,0.16,9.2952,-0.093,-1,0.155,0.14,closed,opposite_fill
3,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T09:49:00+00:00,2026-07-13T09:51:00+00:00,0.0333,buy_yes,sell_yes,0.16,0.15,93.9848,-0.9398,-1,0.14,0.15,closed,opposite_fill
4,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T09:51:00+00:00,2026-07-13T11:22:00+00:00,1.5167,sell_yes,buy_yes,0.15,0.16,9.2952,-0.093,-1,0.15,0.155,closed,opposite_fill
5,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T11:22:00+00:00,2026-07-13T11:33:00+00:00,0.1833,buy_yes,sell_yes,0.16,0.16,93.9848,0,0,0.155,0.165,closed,opposite_fill
6,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T11:33:00+00:00,2026-07-13T11:40:00+00:00,0.1167,sell_yes,buy_yes,0.16,0.17,12.3936,-0.1239,-1,0.165,0.17,closed,opposite_fill
7,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T11:40:00+00:00,2026-07-13T11:41:00+00:00,0.0167,buy_yes,sell_yes,0.17,0.17,93.9848,0,0,0.17,0.175,closed,opposite_fill
8,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T11:41:00+00:00,2026-07-13T11:42:00+00:00,0.0167,sell_yes,buy_yes,0.17,0.17,9.2952,0,0,0.175,0.165,closed,opposite_fill
9,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T11:42:00+00:00,2026-07-13T12:08:00+00:00,0.4333,buy_yes,sell_yes,0.17,0.15,93.9848,-1.8797,-2,0.165,0.155,closed,opposite_fill
10,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T12:08:00+00:00,2026-07-13T12:22:00+00:00,0.2333,sell_yes,buy_yes,0.15,0.15,9.2952,0,0,0.155,0.145,closed,opposite_fill
11,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T12:22:00+00:00,2026-07-13T12:28:00+00:00,0.1,buy_yes,sell_yes,0.15,0.15,93.9848,0,0,0.145,0.15,closed,opposite_fill
12,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T12:28:00+00:00,2026-07-13T12:46:00+00:00,0.3,sell_yes,buy_yes,0.15,0.16,9.2952,-0.093,-1,0.15,0.145,closed,opposite_fill
13,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T12:46:00+00:00,2026-07-13T12:55:00+00:00,0.15,buy_yes,sell_yes,0.16,0.16,97.0832,0,0,0.145,0.165,closed,opposite_fill
14,Iran leadership change by December 31?,2026-07-12T00:01:00+00:00,2026-07-13T14:38:00+00:00,38.6167,buy_yes,sell_yes,0.22,0.2,103.28,-2.0656,-2,0.17,0.21,closed,opposite_fill
15,Iran leadership change by December 31?,2026-07-13T14:38:00+00:00,2026-07-13T14:42:00+00:00,0.0667,sell_yes,buy_yes,0.2,0.23,15.492,-0.4648,-3,0.21,0.23,closed,opposite_fill
16,Iran leadership change by December 31?,2026-07-13T14:42:00+00:00,2026-07-13T14:43:00+00:00,0.0167,buy_yes,sell_yes,0.23,0.23,87.788,0,0,0.23,0.235,closed,opposite_fill
17,Iran leadership change by December 31?,2026-07-13T14:43:00+00:00,2026-07-13T15:25:00+00:00,0.7,sell_yes,buy_yes,0.23,0.23,15.492,0,0,0.235,0.225,closed,opposite_fill
18,Clarity Act (H.R.3633) signed into law in 2026?,2026-07-13T14:15:00+00:00,2026-07-13T16:33:00+00:00,2.3,buy_yes,sell_yes,0.41,0.27,56.2876,-7.8803,-14,0.385,0.285,closed,opposite_fill
19,Fed Rate Hike by October 2026 Meeting?,2026-07-13T06:41:00+00:00,2026-07-13T16:58:00+00:00,10.2833,sell_yes,buy_yes,0.57,0.69,103.28,-12.3936,-12,0.575,0.68,closed,opposite_fill
20,Bab el-Mandeb Strait effectively closed by September 30?,2026-07-13T12:55:00+00:00,2026-07-13T17:09:00+00:00,4.2333,sell_yes,buy_yes,0.16,0.2,9.2952,-0.3718,-4,0.165,0.175,closed,opposite_fill
