trade_id,market_question,entry_time,exit_time,hold_hours,entry_side,exit_side,entry_price,exit_price,size,gross_pnl_usd,pnl_cents_per_share,entry_mid,exit_mid,status,exit_reason
212,Fed Rate Hike by October 2026 Meeting?,2026-05-18T02:55:00+00:00,2026-05-18T03:00:00+00:00,0.0833,buy_yes,sell_yes,0.51,0.44,84.6896,-5.9283,-7,0.435,0.5,closed,opposite_fill
213,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:00:00+00:00,2026-05-18T03:06:00+00:00,0.1,sell_yes,buy_yes,0.44,0.49,18.5904,-0.9295,-5,0.5,0.435,closed,opposite_fill
214,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:06:00+00:00,2026-05-18T03:08:00+00:00,0.0333,buy_yes,sell_yes,0.49,0.46,84.6896,-2.5407,-3,0.435,0.505,closed,opposite_fill
215,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:08:00+00:00,2026-05-18T03:23:00+00:00,0.25,sell_yes,buy_yes,0.46,0.5,18.5904,-0.7436,-4,0.505,0.44,closed,opposite_fill
216,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:23:00+00:00,2026-05-18T03:36:00+00:00,0.2167,buy_yes,sell_yes,0.5,0.46,84.6896,-3.3876,-4,0.44,0.505,closed,opposite_fill
217,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:36:00+00:00,2026-05-18T03:38:00+00:00,0.0333,sell_yes,buy_yes,0.46,0.5,18.5904,-0.7436,-4,0.505,0.44,closed,opposite_fill
218,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:38:00+00:00,2026-05-18T03:43:00+00:00,0.0833,buy_yes,sell_yes,0.5,0.45,84.6896,-4.2345,-5,0.44,0.495,closed,opposite_fill
219,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:43:00+00:00,2026-05-18T03:58:00+00:00,0.25,sell_yes,buy_yes,0.45,0.49,18.5904,-0.7436,-4,0.495,0.43,closed,opposite_fill
220,Fed Rate Hike by October 2026 Meeting?,2026-05-18T03:58:00+00:00,2026-05-18T04:09:00+00:00,0.1833,buy_yes,sell_yes,0.49,0.43,84.6896,-5.0814,-6,0.43,0.495,closed,opposite_fill
221,Fed Rate Hike by October 2026 Meeting?,2026-05-18T04:09:00+00:00,2026-05-18T04:11:00+00:00,0.0333,sell_yes,buy_yes,0.43,0.48,18.5904,-0.9295,-5,0.495,0.42,closed,opposite_fill
222,Fed Rate Hike by October 2026 Meeting?,2026-05-18T04:11:00+00:00,2026-05-18T04:14:00+00:00,0.05,buy_yes,sell_yes,0.48,0.45,84.6896,-2.5407,-3,0.42,0.495,closed,opposite_fill
223,Fed Rate Hike by October 2026 Meeting?,2026-05-18T04:14:00+00:00,2026-05-18T04:24:00+00:00,0.1667,sell_yes,buy_yes,0.45,0.49,18.5904,-0.7436,-4,0.495,0.43,closed,opposite_fill
224,Fed Rate Hike by October 2026 Meeting?,2026-05-18T04:24:00+00:00,2026-05-18T04:27:00+00:00,0.05,buy_yes,sell_yes,0.49,0.45,84.6896,-3.3876,-4,0.43,0.5,closed,opposite_fill
225,Will there be no change in Fed interest rates after the September 2026 meeting?,2026-05-18T00:06:00+00:00,2026-05-18T04:41:00+00:00,4.5833,sell_yes,buy_yes,0.48,0.81,61.5549,-20.3131,-33,0.805,0.805,closed,opposite_fill
226,Fed Rate Hike by October 2026 Meeting?,2026-05-18T04:27:00+00:00,2026-05-18T04:44:00+00:00,0.2833,sell_yes,buy_yes,0.45,0.52,34.0824,-2.3858,-7,0.5,0.51,closed,opposite_fill
227,Fed Rate Hike by October 2026 Meeting?,2026-05-18T04:44:00+00:00,2026-05-18T05:00:00+00:00,0.2667,buy_yes,sell_yes,0.52,0.43,69.1976,-6.2278,-9,0.51,0.43,closed,opposite_fill
228,Fed Rate Hike by October 2026 Meeting?,2026-05-18T05:00:00+00:00,2026-05-18T05:06:00+00:00,0.1,sell_yes,buy_yes,0.43,0.5,80.5584,-5.6391,-7,0.43,0.495,closed,opposite_fill
229,Fed Rate Hike by October 2026 Meeting?,2026-05-18T05:06:00+00:00,2026-05-18T05:17:00+00:00,0.1833,buy_yes,sell_yes,0.5,0.43,22.7216,-1.5905,-7,0.495,0.49,closed,opposite_fill
230,Fed Rate Hike by October 2026 Meeting?,2026-05-18T05:17:00+00:00,2026-05-18T05:30:00+00:00,0.2167,sell_yes,buy_yes,0.43,0.48,80.5584,-4.0279,-5,0.49,0.42,closed,opposite_fill
231,Fed Rate Hike by October 2026 Meeting?,2026-05-18T05:30:00+00:00,2026-05-18T05:33:00+00:00,0.05,buy_yes,sell_yes,0.48,0.43,22.7216,-1.1361,-5,0.42,0.49,closed,opposite_fill
232,Fed Rate Hike by October 2026 Meeting?,2026-05-18T05:33:00+00:00,2026-05-18T07:18:00+00:00,1.75,sell_yes,buy_yes,0.43,0.47,80.5584,-3.2223,-4,0.49,0.27,closed,opposite_fill
233,Clarity Act (H.R.3633) signed into law in 2026?,2026-05-14T14:48:00+00:00,2026-05-18T11:34:00+00:00,92.7667,buy_yes,sell_yes,0.64,0.62,51.64,-1.0328,-2,0.635,0.625,closed,opposite_fill
234,Will there be no change in Fed interest rates after the September 2026 meeting?,2026-05-18T04:41:00+00:00,2026-05-18T14:59:00+00:00,10.3,buy_yes,sell_yes,0.81,0.81,44.8235,0,0,0.805,0.815,closed,opposite_fill
235,Fed Rate Hike by October 2026 Meeting?,2026-05-18T07:18:00+00:00,2026-05-18T17:07:00+00:00,9.8167,buy_yes,sell_yes,0.47,0.27,22.7216,-4.5443,-20,0.27,0.275,closed,opposite_fill
236,Fed Rate Hike by October 2026 Meeting?,2026-05-18T17:07:00+00:00,2026-05-18T17:34:00+00:00,0.45,sell_yes,buy_yes,0.27,0.26,80.5584,0.8056,1,0.275,0.255,closed,opposite_fill
237,Fed Rate Hike by October 2026 Meeting?,2026-05-18T17:34:00+00:00,2026-05-18T20:39:00+00:00,3.0833,buy_yes,sell_yes,0.26,0.26,22.7216,0,0,0.255,0.265,closed,opposite_fill
238,Fed Rate Hike by October 2026 Meeting?,2026-05-18T20:39:00+00:00,2026-05-18T20:43:00+00:00,0.0667,sell_yes,buy_yes,0.26,0.26,80.5584,0,0,0.265,0.255,closed,opposite_fill
239,Fed Rate Hike by October 2026 Meeting?,2026-05-18T20:43:00+00:00,2026-05-18T20:51:00+00:00,0.1333,buy_yes,sell_yes,0.26,0.26,22.7216,0,0,0.255,0.265,closed,opposite_fill
240,Fed Rate Hike by October 2026 Meeting?,2026-05-18T20:51:00+00:00,2026-05-18T20:57:00+00:00,0.1,sell_yes,buy_yes,0.26,0.27,86.7552,-0.8676,-1,0.265,0.265,closed,opposite_fill
241,Fed Rate Hike by October 2026 Meeting?,2026-05-18T20:57:00+00:00,2026-05-18T21:23:00+00:00,0.4333,buy_yes,sell_yes,0.27,0.26,19.6232,-0.1962,-1,0.265,0.265,closed,opposite_fill
242,Fed Rate Hike by October 2026 Meeting?,2026-05-18T21:23:00+00:00,2026-05-18T22:08:00+00:00,0.75,sell_yes,buy_yes,0.26,0.27,83.6568,-0.8366,-1,0.265,0.25,closed,opposite_fill
243,Fed Rate Hike by October 2026 Meeting?,2026-05-18T22:08:00+00:00,2026-05-18T22:18:00+00:00,0.1667,buy_yes,sell_yes,0.27,0.26,19.6232,-0.1962,-1,0.25,0.275,closed,opposite_fill
244,Fed Rate Hike by October 2026 Meeting?,2026-05-18T22:18:00+00:00,2026-05-18T22:31:00+00:00,0.2167,sell_yes,buy_yes,0.26,0.26,83.6568,0,0,0.275,0.255,closed,opposite_fill
245,Will Ulf Kristersson be the next Prime Minister of Sweden?,2026-05-18T00:02:00+00:00,2026-05-19T00:01:00+00:00,23.9833,sell_yes,buy_yes,0.2,0.25,3.0984,-0.1549,-5,0.29,0.195,closed,opposite_fill
