date,ts,amount,cash_before,cash_after
2026-07-12,1783900800,55.7182,9896.31,9952.03
2026-07-13,1783987200,51.8681,9612.37,9664.24
2026-07-14,1784073600,47.7407,9580.47,9628.22
2026-07-15,1784160000,45.022,9505.98,9551.01
2026-07-16,1784246400,45.3857,9503.82,9549.2
2026-07-17,1784332800,50.7447,9675.91,9726.66
2026-07-18,1784419200,45.9502,9609.33,9655.28
2026-07-19,1784505600,63.7525,9615.83,9679.58
2026-07-20,1784592000,49.933,9672.53,9722.46
2026-07-21,1784678400,53.4686,9587.89,9641.36
2026-07-22,1784764800,61.4369,9644.53,9705.97
2026-07-23,1784851200,77.125,9584.9,9662.03
2026-07-24,1784937600,79.4167,9659.06,9738.48
2026-07-25,1785024000,46.9559,9688.63,9735.58
2026-07-26,1785110400,55.4161,9729.11,9784.52
2026-07-27,1785196800,75.0129,9824.75,9899.76
2026-07-28,1785283200,70.0401,9965.86,10035.9
2026-07-29,1785369600,73.6642,9953.62,10027.3
2026-07-30,1785456000,36.0802,9949.85,9985.93
2026-07-31,1785542400,44.5738,10096,10140.6
2026-08-01,1785628800,43.3315,10073.9,10117.2
2026-08-02,1785715200,67.4185,10091.4,10158.8
2026-08-03,1785801600,69.9331,10157.1,10227
2026-08-04,1785888000,50.345,10072.5,10122.8
2026-08-05,1785974400,71.2128,10112.3,10183.5
2026-08-06,1786060800,48.1672,10111.5,10159.6
2026-08-07,1786147200,40.2865,10050.9,10091.2
2026-08-08,1786233600,39.9525,10106.4,10146.3
2026-08-09,1786320000,62.7863,10184.6,10247.3
2026-08-10,1786322460,1.58194,10273.8,10275.4
